in s,C1 in V
-5.9715072E-01,-1.87012E+00
-5.9714150E-01,-1.86035E+00
-5.9713229E-01,-1.88965E+00
-5.9712307E-01,-1.88965E+00
-5.9711386E-01,-1.88965E+00
-5.9710464E-01,-1.88965E+00
-5.9709542E-01,-1.87988E+00
-5.9708621E-01,-1.85059E+00
-5.9707699E-01,-1.88965E+00
-5.9706778E-01,-1.87988E+00
-5.9705856E-01,-1.86035E+00
-5.9704934E-01,-1.86035E+00
-5.9704013E-01,-1.87988E+00
-5.9703091E-01,-1.87988E+00
-5.9702170E-01,-1.88965E+00
-5.9701248E-01,-1.86035E+00
-5.9700326E-01,-1.87012E+00
-5.9699405E-01,-1.86035E+00
-5.9698483E-01,-1.86035E+00
-5.9697562E-01,-1.86035E+00
-5.9696640E-01,-1.87988E+00
-5.9695718E-01,-1.88965E+00
-5.9694797E-01,-1.87988E+00
-5.9693875E-01,-1.86035E+00
-5.9692954E-01,-1.86035E+00
-5.9692032E-01,-1.87988E+00
-5.9691110E-01,-1.86035E+00
-5.9690189E-01,-1.86035E+00
-5.9689267E-01,-1.86035E+00
-5.9688346E-01,-1.88965E+00
-5.9687424E-01,-1.88965E+00
-5.9686502E-01,-1.88965E+00
-5.9685581E-01,-1.86035E+00
-5.9684659E-01,-1.87988E+00
-5.9683738E-01,-1.89941E+00
-5.9682816E-01,-1.88965E+00
-5.9681894E-01,-1.87012E+00
-5.9680973E-01,-1.85059E+00
-5.9680051E-01,-1.90918E+00
-5.9679130E-01,-1.86035E+00
-5.9678208E-01,-1.87012E+00
-5.9677286E-01,-1.87988E+00
-5.9676365E-01,-1.84082E+00
-5.9675443E-01,-1.88965E+00
-5.9674522E-01,-1.86035E+00
-5.9673600E-01,-1.86035E+00
-5.9672678E-01,-1.88965E+00
-5.9671757E-01,-1.88965E+00
-5.9670835E-01,-1.88965E+00
-5.9669914E-01,-1.86035E+00
-5.9668992E-01,-1.87012E+00
-5.9668070E-01,-1.87988E+00
-5.9667149E-01,-1.87012E+00
-5.9666227E-01,-1.87012E+00
-5.9665306E-01,-1.87988E+00
-5.9664384E-01,-1.85059E+00
-5.9663462E-01,-1.86035E+00
-5.9662541E-01,-1.86035E+00
-5.9661619E-01,-1.86035E+00
-5.9660698E-01,-1.87988E+00
-5.9659776E-01,-1.87012E+00
-5.9658854E-01,-1.85059E+00
-5.9657933E-01,-1.85059E+00
-5.9657011E-01,-1.87988E+00
-5.9656090E-01,-1.87012E+00
-5.9655168E-01,-1.85059E+00
