in s,C1 in V
-1.3905922E+00,-6.82617E+00
-1.3905737E+00,-6.78711E+00
-1.3905552E+00,-6.74805E+00
-1.3905367E+00,-6.76758E+00
-1.3905182E+00,-6.80664E+00
-1.3904998E+00,-6.86523E+00
-1.3904813E+00,-6.84570E+00
-1.3904628E+00,-6.86523E+00
-1.3904443E+00,-6.82617E+00
-1.3904258E+00,-6.86523E+00
-1.3904074E+00,-6.80664E+00
-1.3903889E+00,-6.80664E+00
-1.3903704E+00,-6.88477E+00
-1.3903519E+00,-6.86523E+00
-1.3903334E+00,-6.90430E+00
-1.3903150E+00,-6.88477E+00
-1.3902965E+00,-6.76758E+00
-1.3902780E+00,-6.88477E+00
-1.3902595E+00,-6.86523E+00
-1.3902410E+00,-6.84570E+00
-1.3902226E+00,-6.88477E+00
-1.3902041E+00,-6.92383E+00
-1.3901856E+00,-6.88477E+00
-1.3901671E+00,-6.92383E+00
-1.3901486E+00,-6.84570E+00
-1.3901302E+00,-6.80664E+00
-1.3901117E+00,-6.74805E+00
-1.3900932E+00,-6.86523E+00
-1.3900747E+00,-6.86523E+00
-1.3900562E+00,-6.86523E+00
-1.3900378E+00,-6.90430E+00
-1.3900193E+00,-6.80664E+00
-1.3900008E+00,-6.80664E+00
-1.3899823E+00,-6.80664E+00
-1.3899638E+00,-6.78711E+00
-1.3899454E+00,-6.78711E+00
-1.3899269E+00,-6.78711E+00
-1.3899084E+00,-6.72852E+00
-1.3898899E+00,-6.74805E+00
-1.3898714E+00,-6.78711E+00
-1.3898530E+00,-6.70898E+00
-1.3898345E+00,-6.84570E+00
-1.3898160E+00,-6.78711E+00
-1.3897975E+00,-6.80664E+00
-1.3897790E+00,-6.78711E+00
-1.3897606E+00,-6.86523E+00
-1.3897421E+00,-6.80664E+00
-1.3897236E+00,-6.76758E+00
-1.3897051E+00,-6.72852E+00
-1.3896866E+00,-6.76758E+00
-1.3896682E+00,-6.80664E+00
-1.3896497E+00,-6.80664E+00
-1.3896312E+00,-6.72852E+00
-1.3896127E+00,-6.80664E+00
-1.3895942E+00,-6.74805E+00
-1.3895758E+00,-6.80664E+00
-1.3895573E+00,-6.74805E+00
-1.3895388E+00,-6.70898E+00
-1.3895203E+00,-6.74805E+00
-1.3895018E+00,-6.80664E+00
-1.3894834E+00,-6.76758E+00
-1.3894649E+00,-6.66992E+00
-1.3894464E+00,-6.80664E+00
-1.3894279E+00,-6.78711E+00
-1.3894094E+00,-6.72852E+00
-1.3893910E+00,-6.70898E+00
-1.3893725E+00,-6.78711E+00
-1.3893540E+00,-6.74805E+00
-1.3893355E+00,-6.82617E+00
-1.3893170E+00,-6.76758E+00
-1.3892986E+00,-6.78711E+00
-1.3892801E+00,-6.72852E+00
-1.3892616E+00,-6.70898E+00
-1.3892431E+00,-6.78711E+00
-1.3892246E+00,-6.78711E+00
-1.3892062E+00,-6.80664E+00
-1.3891877E+00,-6.80664E+00
-1.3891692E+00,-6.80664E+00
-1.3891507E+00,-6.70898E+00
-1.3891322E+00,-6.68945E+00
-1.3891138E+00,-6.72852E+00
-1.3890953E+00,-6.76758E+00
-1.3890768E+00,-6.76758E+00
-1.3890583E+00,-6.78711E+00
-1.3890398E+00,-6.68945E+00
-1.3890214E+00,-6.76758E+00
-1.3890029E+00,-6.80664E+00
-1.3889844E+00,-6.80664E+00
-1.3889659E+00,-6.74805E+00
-1.3889474E+00,-6.76758E+00
-1.3889290E+00,-6.82617E+00
-1.3889105E+00,-6.84570E+00
-1.3888920E+00,-6.76758E+00
-1.3888735E+00,-6.80664E+00
-1.3888550E+00,-6.84570E+00
-1.3888366E+00,-6.84570E+00
-1.3888181E+00,-6.88477E+00
-1.3887996E+00,-6.82617E+00
-1.3887811E+00,-6.86523E+00
-1.3887626E+00,-6.80664E+00
-1.3887442E+00,-6.88477E+00
-1.3887257E+00,-6.92383E+00
-1.3887072E+00,-6.88477E+00
-1.3886887E+00,-6.92383E+00
-1.3886702E+00,-6.84570E+00
-1.3886518E+00,-6.86523E+00
-1.3886333E+00,-6.90430E+00
-1.3886148E+00,-6.96289E+00
-1.3885963E+00,-6.90430E+00
-1.3885778E+00,-6.94336E+00
-1.3885594E+00,-6.82617E+00
-1.3885409E+00,-6.80664E+00
-1.3885224E+00,-6.88477E+00
-1.3885039E+00,-6.84570E+00
-1.3884854E+00,-6.84570E+00
-1.3884670E+00,-6.82617E+00
-1.3884485E+00,-6.88477E+00
-1.3884300E+00,-6.92383E+00
-1.3884115E+00,-6.82617E+00
-1.3883930E+00,-6.90430E+00
-1.3883746E+00,-6.82617E+00
-1.3883561E+00,-6.86523E+00
-1.3883376E+00,-6.84570E+00
-1.3883191E+00,-6.82617E+00
-1.3883006E+00,-6.88477E+00
-1.3882822E+00,-6.76758E+00
-1.3882637E+00,-6.84570E+00
-1.3882452E+00,-6.80664E+00
-1.3882267E+00,-6.88477E+00
-1.3882082E+00,-6.86523E+00
-1.3881898E+00,-6.80664E+00
-1.3881713E+00,-6.86523E+00
-1.3881528E+00,-6.84570E+00
-1.3881343E+00,-6.88477E+00
-1.3881158E+00,-6.78711E+00
-1.3880974E+00,-6.86523E+00
-1.3880789E+00,-6.82617E+00
-1.3880604E+00,-6.80664E+00
-1.3880419E+00,-6.78711E+00
-1.3880234E+00,-6.80664E+00
-1.3880050E+00,-6.80664E+00
-1.3879865E+00,-6.82617E+00
-1.3879680E+00,-6.84570E+00
-1.3879495E+00,-6.78711E+00
-1.3879310E+00,-6.80664E+00
-1.3879126E+00,-6.74805E+00
-1.3878941E+00,-6.80664E+00
-1.3878756E+00,-6.72852E+00
-1.3878571E+00,-6.72852E+00
-1.3878386E+00,-6.78711E+00
-1.3878202E+00,-6.80664E+00
-1.3878017E+00,-6.80664E+00
-1.3877832E+00,-6.70898E+00
-1.3877647E+00,-6.76758E+00
-1.3877462E+00,-6.76758E+00
-1.3877278E+00,-6.70898E+00
-1.3877093E+00,-6.78711E+00
-1.3876908E+00,-6.72852E+00
-1.3876723E+00,-6.68945E+00
-1.3876538E+00,-6.74805E+00
-1.3876354E+00,-6.72852E+00
-1.3876169E+00,-6.78711E+00
-1.3875984E+00,-6.72852E+00
-1.3875799E+00,-6.78711E+00
-1.3875614E+00,-6.84570E+00
-1.3875430E+00,-6.76758E+00
-1.3875245E+00,-6.78711E+00
-1.3875060E+00,-6.72852E+00
-1.3874875E+00,-6.78711E+00
-1.3874690E+00,-6.74805E+00
-1.3874506E+00,-6.66992E+00
-1.3874321E+00,-6.76758E+00
-1.3874136E+00,-6.72852E+00
-1.3873951E+00,-6.80664E+00
-1.3873766E+00,-6.78711E+00
-1.3873582E+00,-6.72852E+00
-1.3873397E+00,-6.68945E+00
-1.3873212E+00,-6.76758E+00
-1.3873027E+00,-6.84570E+00
-1.3872842E+00,-6.70898E+00
-1.3872658E+00,-6.72852E+00
-1.3872473E+00,-6.74805E+00
-1.3872288E+00,-6.72852E+00
-1.3872103E+00,-6.74805E+00
-1.3871918E+00,-6.74805E+00
-1.3871734E+00,-6.78711E+00
-1.3871549E+00,-6.82617E+00
-1.3871364E+00,-6.82617E+00
-1.3871179E+00,-6.78711E+00
-1.3870994E+00,-6.82617E+00
-1.3870810E+00,-6.80664E+00
-1.3870625E+00,-6.80664E+00
-1.3870440E+00,-6.76758E+00
-1.3870255E+00,-6.66992E+00
-1.3870070E+00,-6.82617E+00
-1.3869886E+00,-6.86523E+00
-1.3869701E+00,-6.80664E+00
-1.3869516E+00,-6.74805E+00
-1.3869331E+00,-6.76758E+00
-1.3869146E+00,-6.74805E+00
-1.3868962E+00,-6.80664E+00
-1.3868777E+00,-6.80664E+00
-1.3868592E+00,-6.78711E+00
-1.3868407E+00,-6.78711E+00
-1.3868222E+00,-6.80664E+00
-1.3868038E+00,-6.82617E+00
-1.3867853E+00,-6.72852E+00
-1.3867668E+00,-6.80664E+00
-1.3867483E+00,-6.84570E+00
-1.3867298E+00,-6.82617E+00
-1.3867114E+00,-6.82617E+00
-1.3866929E+00,-6.82617E+00
-1.3866744E+00,-6.88477E+00
-1.3866559E+00,-6.86523E+00
-1.3866374E+00,-6.88477E+00
-1.3866190E+00,-6.84570E+00
-1.3866005E+00,-6.90430E+00
-1.3865820E+00,-6.92383E+00
-1.3865635E+00,-6.76758E+00
-1.3865450E+00,-6.90430E+00
-1.3865266E+00,-6.96289E+00
-1.3865081E+00,-6.90430E+00
-1.3864896E+00,-6.86523E+00
-1.3864711E+00,-6.80664E+00
-1.3864526E+00,-6.92383E+00
-1.3864342E+00,-6.88477E+00
-1.3864157E+00,-6.92383E+00
-1.3863972E+00,-6.80664E+00
